date,value
2017-05-02,2.3168
2017-05-03,2.2965
2017-05-04,2.3199
2017-05-05,2.3133
2017-05-05,2.3133
2017-05-05,2.3133
2017-05-08,2.3286
2017-05-09,2.3276
2017-05-10,2.3106
2017-05-11,2.3053
2017-05-12,2.2908
2017-05-12,2.2908
2017-05-12,2.2908
2017-05-15,2.2815
2017-05-16,2.2789
2017-05-17,2.2758
2017-05-18,2.2978
2017-05-19,2.4541
2017-05-19,2.4541
2017-05-19,2.4541
2017-05-22,2.4403
